// ==========================================
// MODAL VERBS
// ==========================================

dürfen, (to be allowed to), er darf, er durfte, er hat gedurft
bitten, (to request), er bittet, er bat, er hat gebeten
blasen, (to blow / be windy), er bläst, er blies, er hat geblasen
bleiben, (to stay/remain), er bleibt, er blieb, er ist geblieben
braten, (to roast), er brät, er briet, er hat gebraten
brechen, (to break), er bricht, er brach, er hat gebrochen
brennen, (to burn), er brennt, er brannte, er hat gebrannt
bringen, (to bring), er bringt, er brachte, er hat gebracht
denken, (to think), er denkt, er dachte, er hat gedacht
empfehlen, (to recommend), er empfiehlt, er empfahl, er hat empfohlen
essen, (to eat), er isst, er aß, er hat gegessen
fahren, (to drive), er fährt, er fuhr, er ist gefahren
fallen, (to fall), er fällt, er fiel, er ist gefallen
fangen, (to catch), er fängt, er fing, er hat gefangen
finden, (to find), er findet, er fand, er hat gefunden
fliegen, (to fly), er fliegt, er flog, er ist geflogen
fliehen, (to flee), er flieht, er floh, er ist geflohen
fließen, (to flow), er fließt, er floss, er hatgeflossen
fressen, (to eat (done by animals)), er frisst, er fraß, er hat gefressen
frieren, (to freeze/be cold), er friert, er fror, er ist gefroren
geben, (to give), er gibt, er gab, er hat gegeben
gehen, (to go), er geht, er ging, er ist gegangen
gelten, (to be valid / to be considered to be (impersonal)), er gilt, er galt, er hat gegolten
gießen, (to pour), er gießt, er goss, er hat gegossen
gleichen, (to resemble), er gleicht, er glich, er hat geglichen
gleiten, (to glide/slide), er gleitet, er glitt, er ist geglitten
graben, (to dig), er gräbt, er grub, er hat gegraben
greifen, (to grasp/grab hold of), er greift, er griff, er hat gegriffen
halten, (to stop/hold), er hält, er hielt, er hat gehalten
heben, (to raise/lift), er hebt, er hob, er hat gehoben
heißen, (to be called), er heißt, er hieß, er hat geheißen
helfen, (to help), er hilft, er half, er hat geholfen
kennen, (to know (a place/person/situation)), er kennt, er kannte, er hat gekannt
klingen, (to sound), er klingt, er klang, er hat geklungen
kommen, (to come), er kommt, er kam, er ist gekommen
kriechen, (to crawl), er kriecht, er kroch, er ist gekrochen
laden, (to load/charge), er lädt, er lud, er hat geladen
lassen, (to let / leave (something behind)), er lässt, er ließ, er hat gelassen
laufen, (to walk), er läuft, er lief, er ist gelaufen
leiden, (to suffer), er leidet, er litt, er hat gelitten
leihen, (to lend (out)), er leiht, er lieh, er hat geliehen
lesen, (to read), er liest, er las, er hat gelesen
liegen, (to lie (in a place)), er liegt, er lag, er hat gelegen
lügen, (to tell lies), er lügt, er log, er hat gelogen
messen, (to measure), er misst, er maß, er hat gemessen
nehmen, (to take), er nimmt, er nahm, er hat genommen
nennen, (to name/call), er nennt, er nannte, er hat genannt
pfeifen, (to whistle/pipe), er pfeift, er pfiff, er hat gepfiffen
raten, (to advise), er rät, er riet, er hat geraten
reiben, (to rub), er reibt, er rieb, er hat gerieben
reißen, (to tear/rip), er reißt, er riss, er hat gerissen
reiten, (to ride (on horse)), er reitet, er ritt, er ist geritten
rennen, (to run), er rennt, er rannte, er ist gerannt
riechen, (to smell), er riecht, er roch, er hat gerochen
scheiden, (to separate), er scheidet, er schied, er ist geschieden
scheinen, (to shine), er scheint, er schien, er hat geschienen
schieben, (to shove/push), er schiebt, er schob, er hat geschoben
schießen, (to shoot), er schießt, er schoss, er hat geschossen
schlafen, (to sleep), er schläft, er schlief, er hat geschlafen
